x,y
5.319959559523030457e+00,2.214689843348780052e+00
3.719959559523029924e+00,7.834159790953075797e-01
7.919959559523030990e+00,1.523030909848607228e+00
8.199595595230297906e-01,-2.002045760830884369e+00
7.719959559523029924e+00,1.426515234576169355e+00
5.919959559523030102e+00,1.237551582737099309e+00
9.319959559523031345e+00,2.971441132754954140e+00
9.119959559523030279e+00,3.253274433456285308e+00
-1.800404404769702926e-01,-4.320869125946689593e+00
4.319959559523030457e+00,1.364699628735622339e+00
1.719959559523029702e+00,-4.652442083698103414e-01
7.619959559523030279e+00,1.886812738543874879e+00
1.319959559523029791e+00,-7.231573457237328029e-02
8.319959559523029569e+00,1.411629924674491665e+00
-8.004044047697028708e-02,-3.734046703284195523e+00
5.519959559523030634e+00,1.828453092053136775e+00
8.719959559523029924e+00,1.519648163593682266e+00
2.619959559523030279e+00,1.187227758862995586e+00
4.419959559523030102e+00,2.171123990729167730e+00
2.219959559523029924e+00,1.358443318934620669e-01
2.019959559523029746e+00,4.782713336772521640e-01
-2.800404404769702982e-01,-5.182962613992961209e+00
1.219959559523029702e+00,-1.402215041662773221e+00
5.219959559523029924e+00,1.617623865042176812e+00
6.419959559523030102e+00,1.425667288177868919e+00
8.019959559523030634e+00,2.061282609778729125e+00
6.919959559523030102e+00,1.465814057703826334e+00
9.519959559523030634e+00,3.193247446795002720e+00
9.419959559523030990e+00,2.300251470233712237e+00
4.199595595230297684e-01,-3.282993204837471701e+00
4.219959559523029924e+00,1.832109986663416290e+00
1.619959559523029835e+00,-9.827220427178318118e-02
9.219959559523029924e+00,2.119530621646393609e+00
3.219959559523029924e+00,6.713042593553897319e-01
3.519959559523029746e+00,6.418291824306630033e-01
8.119959559523030279e+00,2.146575244818087924e+00
1.995955952302974623e-02,-3.942701729699667812e+00
3.119959559523030279e+00,5.016537971535867113e-01
7.319959559523030457e+00,2.351595543565415447e+00
7.119959559523030279e+00,1.378378827051343958e+00
1.919959559523029879e+00,-2.779588669996611028e-01
5.119959559523030279e+00,1.730844072850520332e+00
4.519959559523030634e+00,9.298452931855463177e-01
2.919959559523030102e+00,9.853364983125864063e-01
5.019959559523030634e+00,1.904462052897576196e+00
8.419959559523030990e+00,2.395345487834581455e+00
6.719959559523029924e+00,1.274544776831942228e+00
1.519959559523029746e+00,-1.300035615207719708e-01
4.819959559523030457e+00,1.863777823677531531e+00
7.419959559523030102e+00,1.608396827226426851e+00
4.019959559523029746e+00,1.441901788789083927e+00
1.819959559523029791e+00,6.017877763087056131e-01
2.719959559523029924e+00,1.152981728712383802e+00
6.519959559523030634e+00,2.135711951126057606e+00
1.419959559523029879e+00,-6.893631800293502643e-01
7.219959559523029924e+00,1.851789918746956420e+00
7.519959559523030634e+00,1.695602513263918532e+00
2.519959559523029746e+00,1.424898621137594135e-01
3.319959559523029569e+00,8.158799192152494939e-01
5.619959559523030279e+00,1.785111995561206477e+00
2.319959559523029569e+00,1.117832733900613107e+00
4.119959559523030279e+00,1.319890993726027251e+00
8.819959559523029569e+00,2.578598178289961407e+00
7.019959559523030634e+00,1.157663568414316835e+00
1.019959559523029746e+00,-1.533766319901773478e+00
8.219959559523029924e+00,1.611620060234338681e+00
3.919959559523030102e+00,2.146955914567806545e+00
6.319959559523030457e+00,2.227255617051923764e+00
6.199595595230297240e-01,-2.164285849786905302e+00
9.019959559523030634e+00,2.982571373142341109e+00
8.519959559523030634e+00,2.503760259453441606e+00
8.619959559523030279e+00,2.346852255523959041e+00
3.419959559523030102e+00,2.047359043982909466e+00
4.619959559523030279e+00,1.385755205227819697e+00
7.819959559523029569e+00,1.461066912206795410e+00
5.419959559523030102e+00,2.033509642353566793e+00
6.019959559523030634e+00,1.823844114818310658e+00
3.619959559523030279e+00,1.423898771569666932e+00
8.919959559523030990e+00,2.665800080427937147e+00
6.119959559523030279e+00,1.888327119967643020e+00
2.199595595230297018e-01,-3.294577782438759428e+00
2.119959559523030279e+00,2.764062827061912753e-01
9.199595595230298795e-01,-7.828035067075043152e-01
4.919959559523030102e+00,1.729301258585243639e+00
7.199595595230297018e-01,-2.472396745809078311e+00
9.619959559523030279e+00,3.515419376939235008e+00
6.219959559523029924e+00,1.392620438808532590e+00
2.819959559523029569e+00,8.624796206007516730e-01
5.819959559523030457e+00,1.466234839549267921e+00
3.819959559523030457e+00,1.945817855170482558e+00
6.819959559523030457e+00,1.431479269997239623e+00
5.719959559523029924e+00,1.606069891496466173e+00
2.419959559523030102e+00,1.213384745796944664e+00
1.119959559523029835e+00,-1.744737519841263129e+00
4.719959559523029924e+00,1.160759997044670255e+00
3.019959559523029746e+00,4.412812554436747470e-01
1.199595595230297240e-01,-3.653026761677284018e+00
5.199595595230297462e-01,-2.009519301221956322e+00
3.199595595230297906e-01,-2.199632800430613155e+00
6.619959559523030279e+00,1.923364165699237516e+00
