id;region;fed_okr;tipnp;Q1;Q2;Q3;Q4;Q5;Q6;Q7;AGE;EDU;GENDER;PROF;INCOME
1;66;6;6;0;1;1;4;4;4;4;57;3;2;1;6
2;24;7;2;0;1;2;3;3;5;3;58;3;2;1;8
3;33;1;4;0;1;2;3;3;4;4;56;5;2;1;8
4;37;1;4;1;1;2;4;4;4;2;63;3;2;1;7
5;39;2;4;1;1;4;4;4;5;4;64;2;1;1;7
6;16;5;3;1;1;1;4;4;4;4;60;5;1;1;9
7;36;1;2;1;1;4;4;4;7;4;63;4;2;1;9
8;24;7;6;0;1;1;4;4;5;7;57;3;2;1;5
9;24;7;2;0;1;1;2;2;7;7;56;3;2;1;6
10;38;7;4;0;0;3;2;2;6;5;64;5;2;1;9
11;24;7;7;1;0;4;4;1;7;97;59;2;2;1;4
12;47;2;6;1;0;1;4;4;6;97;58;5;2;1;7
13;21;5;7;0;0;4;4;4;97;3;57;2;2;1;8
14;58;5;7;0;0;4;4;2;97;7;55;3;2;1;8
15;30;3;6;2;0;4;2;1;2;1;58;3;2;1;6
16;52;5;5;2;0;1;3;4;5;2;57;3;2;1;6
17;59;5;2;3;0;2;2;4;3;2;64;5;2;1;6
18;74;6;2;3;1;1;4;4;3;5;62;3;2;1;8
19;92;3;4;3;0;2;4;4;7;7;57;3;2;1;9
20;74;6;2;3;0;1;4;4;5;6;64;3;1;1;8
21;47;2;5;3;0;1;4;4;6;97;62;5;2;1;9
22;18;5;3;3;0;1;3;3;97;2;44;3;1;1;5
23;23;3;7;3;0;4;4;2;97;2;43;3;2;1;7
24;48;1;3;3;0;4;1;4;97;3;59;5;2;1;4
25;30;3;6;3;0;3;4;1;97;4;59;3;2;1;4
26;74;6;3;3;0;1;2;3;97;4;56;3;2;1;4
27;16;5;5;3;0;2;4;4;97;3;59;2;2;1;5
28;26;5;6;3;0;4;3;2;97;3;48;2;2;1;5
29;33;1;7;3;0;2;2;3;97;3;55;3;2;1;6
30;48;1;7;3;0;2;4;4;97;4;57;3;2;1;6
31;52;5;2;3;0;4;4;4;97;3;58;5;2;1;8
32;38;7;4;3;0;3;2;2;97;6;57;3;2;1;8
33;16;5;5;3;0;1;3;3;97;2;60;2;2;1;6
34;33;1;4;3;1;2;2;4;97;5;60;3;1;1;6
35;39;2;4;3;0;4;2;4;97;2;66;3;2;1;7
36;24;7;7;3;0;4;2;4;97;7;62;5;1;1;7
37;55;7;7;3;0;4;4;4;97;2;61;3;2;1;8
38;77;1;1;3;0;4;2;4;97;3;64;3;1;1;8
39;2;5;6;3;0;2;3;3;97;5;64;5;1;1;8
40;22;7;7;3;0;2;2;4;97;7;65;5;2;1;8
