x1,x2,y
42,92,100
32,9,-42
46,59,30
96,85,-19
10,20,31
73,52,-36
98,17,-168
50,64,23
76,51,-65
66,86,48
51,88,79
57,32,-61
95,49,-99
43,2,-81
62,10,-96
72,95,50
9,27,49
90,62,-57
19,40,36
87,60,-64
82,16,-132
7,94,183
81,71,-30
20,30,6
79,90,23
89,68,-31
15,70,120
67,18,-85
38,54,42
71,14,-105
54,78,54
25,53,60
44,77,63
75,3,-132
52,23,-60
53,33,-55
6,99,183
70,8,-138
60,83,35
28,81,94
30,98,143
22,80,108
33,91,112
55,24,-53
39,25,-38
0,75,147
13,31,46
83,97,16
14,55,74
85,84,-15
93,79,-29
58,56,-1
1,13,33
69,28,-69
5,66,126
80,11,-143
36,15,-47
37,21,-28
92,43,-84
17,19,1
3,1,2
65,67,-2
27,41,32
59,37,-46
88,69,-38
47,47,1
31,36,19
34,6,-59
99,4,-180
77,46,-75
8,35,45
74,61,-36
29,76,84
86,48,-84
35,93,121
11,5,-17
49,22,-59
64,63,3
91,29,-133
23,12,-11
56,44,-29
41,26,-45
84,57,-41
12,39,52
26,0,-50
68,58,-6
40,34,-20
18,73,109
97,38,-131
61,82,38
94,7,-163
45,74,54
21,96,142
24,72,111
2,42,94
16,65,109
78,45,-81
4,87,174
63,89,60
48,50,8
