x1,x2,x3,y
42,92,28,1128
32,9,67,1301
46,59,94,1350
96,85,40,1315
10,20,1,1011
73,52,57,1328
98,17,33,1380
50,64,85,1333
76,51,9,1198
66,86,47,1268
51,88,27,1132
57,32,96,1420
95,49,69,1457
43,2,79,1372
62,10,42,1294
72,95,77,1351
9,27,11,1043
90,62,68,1424
19,40,12,1059
87,60,75,1429
82,16,37,1356
7,94,90,1208
81,71,25,1232
20,30,4,1042
79,90,81,1393
89,68,66,1407
15,70,30,1068
67,18,21,1231
38,54,97,1347
71,14,83,1441
54,78,53,1234
25,53,60,1216
44,77,31,1139
75,3,17,1258
52,23,39,1237
53,33,15,1163
6,99,70,1143
70,8,56,1371
60,83,59,1278
28,81,41,1122
30,98,14,1046
22,80,22,1056
33,91,49,1157
55,24,50,1291
39,25,87,1354
0,75,34,1033
13,31,63,1183
83,97,51,1291
14,55,35,1098
85,84,46,1315
93,79,98,1498
58,56,7,1140
1,13,71,1196
69,28,84,1424
5,66,44,1069
80,11,92,1497
36,15,89,1348
37,21,43,1234
92,43,16,1285
17,19,72,1236
3,1,82,1254
65,67,80,1357
27,41,55,1218
59,37,88,1402
88,69,38,1322
47,47,78,1330
31,36,86,1327
34,6,2,1096
99,4,8,1322
77,46,62,1381
8,35,73,1217
74,61,19,1214
29,76,6,1034
86,48,74,1446
35,93,95,1284
11,5,18,1094
49,22,10,1160
64,63,64,1314
91,29,29,1337
23,12,99,1367
56,44,91,1401
41,26,76,1312
84,57,26,1287
12,39,36,1111
26,0,65,1264
68,58,54,1294
40,34,20,1151
18,73,58,1166
97,38,3,1250
61,82,5,1111
94,7,32,1369
45,74,48,1214
21,96,45,1092
24,72,61,1188
2,42,0,968
16,65,52,1127
78,45,24,1268
4,87,93,1207
63,89,23,1184
48,50,13,1137
