x1,x2,x3,x4,x5,y
36,98,4,45,77,-396
25,42,23,14,64,-364
77,65,10,72,9,-263
9,58,75,40,31,-434
66,46,27,42,7,-386
28,7,94,91,86,-242
62,97,12,36,97,-441
50,77,57,95,48,-290
88,64,92,5,19,-654
35,62,33,67,27,-300
1,51,41,96,47,-195
20,69,86,85,25,-348
75,80,2,75,71,-291
89,32,80,46,60,-472
52,17,14,82,38,-124
44,60,15,23,33,-378
17,35,98,9,37,-527
33,63,73,74,43,-348
23,8,93,38,34,-379
69,22,63,37,54,-400
84,96,89,44,35,-601
67,68,48,70,32,-361
79,36,61,64,93,-380
48,81,62,92,80,-347
8,53,31,61,44,-286
45,93,59,20,42,-571
94,50,97,98,67,-386
68,13,0,57,73,-202
93,90,95,0,89,-749
18,78,13,88,36,-189
65,91,34,63,55,-399
58,49,49,15,21,-501
76,14,25,65,17,-232
21,99,47,78,84,-355
72,2,17,66,24,-172
47,59,50,26,88,-454
85,29,39,18,79,-425
61,84,84,87,12,-409
51,95,44,49,23,-460
38,33,99,39,5,-445
37,23,58,51,66,-318
6,48,65,84,78,-272
22,16,26,8,62,-359
53,89,54,80,68,-395
78,9,91,52,39,-403
81,38,55,7,50,-498
19,75,85,59,76,-458
95,20,90,10,15,-537
54,92,16,12,30,-486
10,15,6,21,69,-277
56,57,1,62,10,-264
49,34,74,69,2,-345
64,73,40,77,49,-311
29,0,81,33,53,-389
46,71,43,90,83,-302
39,52,72,93,91,-264
42,41,78,71,4,-334
73,87,82,17,40,-657
74,39,9,79,57,-187
5,11,30,13,6,-301
11,66,11,27,3,-380
86,4,19,56,45,-225
92,27,18,81,22,-222
70,31,24,6,59,-419
90,55,64,34,95,-502
24,10,79,86,1,-238
2,45,51,35,56,-354
30,67,88,53,90,-469
4,21,77,22,13,-401
27,5,21,28,18,-278
14,30,87,76,65,-272
63,6,71,97,81,-217
97,74,70,11,8,-633
43,85,22,68,70,-317
31,26,56,43,16,-350
98,88,32,89,92,-348
13,25,35,48,61,-263
40,83,28,16,58,-467
16,40,76,25,87,-448
96,3,46,29,20,-385
80,82,96,50,0,-585
87,44,7,2,98,-459
82,56,83,24,82,-573
7,79,3,41,72,-332
41,43,53,4,63,-507
91,61,42,55,75,-383
55,18,29,47,94,-267
71,76,68,19,85,-554
57,86,8,60,41,-329
83,70,36,83,99,-318
12,1,67,1,46,-437
60,72,5,32,28,-407
32,37,60,58,52,-341
34,94,38,3,29,-550
3,47,37,94,26,-140
59,54,66,99,74,-287
0,12,69,54,51,-291
99,28,52,30,11,-446
26,24,45,31,14,-354
15,19,20,73,96,-131
