x1,x2,x3,x4,y
42,92,28,4,-25
32,9,67,59,-294
46,59,94,22,-191
96,85,40,5,-155
10,20,1,98,-293
73,52,57,17,-204
98,17,33,1,-226
50,64,85,49,-257
76,51,9,96,-410
66,86,47,26,-159
51,88,27,85,-300
57,32,96,78,-418
95,49,69,40,-341
43,2,79,31,-241
62,10,42,27,-250
72,95,77,0,-127
9,27,11,16,-44
90,62,68,21,-237
19,40,12,33,-101
87,60,75,35,-306
82,16,37,34,-299
7,94,90,64,-199
81,71,25,77,-350
20,30,4,43,-130
79,90,81,37,-266
89,68,66,87,-451
15,70,30,71,-202
67,18,21,25,-216
38,54,97,24,-204
71,14,83,91,-487
54,78,53,51,-239
25,53,60,67,-243
44,77,31,14,-99
75,3,17,76,-392
52,23,39,62,-299
53,33,15,80,-314
6,99,70,82,-230
70,8,56,54,-356
60,83,59,10,-111
28,81,41,18,-55
30,98,14,23,-34
22,80,22,48,-145
33,91,49,56,-196
55,24,50,29,-227
39,25,87,93,-434
0,75,34,44,-96
13,31,63,83,-294
83,97,51,66,-325
14,55,35,20,-76
85,84,46,90,-394
93,79,98,32,-289
58,56,7,86,-317
1,13,71,8,-81
69,28,84,89,-450
5,66,44,52,-129
80,11,92,3,-263
36,15,89,15,-186
37,21,43,70,-313
92,43,16,81,-403
17,19,72,55,-250
3,1,82,58,-271
65,67,80,63,-330
27,41,55,9,-110
59,37,88,41,-295
88,69,38,36,-246
47,47,78,53,-291
31,36,86,12,-162
34,6,2,79,-296
99,4,8,50,-348
77,46,62,97,-471
8,35,73,69,-249
74,61,19,39,-237
29,76,6,73,-204
86,48,74,68,-393
35,93,95,38,-199
11,5,18,30,-111
49,22,10,84,-324
64,63,64,60,-318
91,29,29,94,-472
23,12,99,47,-260
56,44,91,13,-193
41,26,76,65,-339
84,57,26,95,-419
12,39,36,61,-191
26,0,65,99,-414
68,58,54,74,-344
40,34,20,92,-356
18,73,58,7,-52
97,38,3,19,-218
61,82,5,2,-42
94,7,32,46,-361
45,74,48,57,-234
21,96,45,75,-212
24,72,61,11,-76
2,42,0,45,-85
16,65,52,88,-287
78,45,24,72,-354
4,87,93,28,-91
63,89,23,6,-68
48,50,13,42,-192
